Name,Prep Time,Cook Time,Total Time,Servings,Yield,Ingredients,Directions,url,Additional Time
Indian Chicken Curry (Murgh Kari),20,40,60,6,6 servings,"[{'quantity': '2', 'unit': 'pounds', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'cooking oil'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'chopped onion'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced garlic'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'minced fresh ginger root'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'curry powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground turmeric'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground coriander'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'water'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'crushed tomatoes'}, {'quantity': '1', 'unit': 'cup', 'name': 'plain yogurt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh cilantro'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garam masala'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh cilantro'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh lemon juice'}]","['Sprinkle the chicken breasts with 2 teaspoons salt.', 'Heat oil in a large skillet over high heat; partially cook the chicken in the hot oil in batches until completely browned on all sides. Transfer browned chicken breasts to a plate and set aside.', 'Reduce the heat to medium and add onion, garlic, and ginger to the oil remaining in the skillet. Cook and stir until onion turns soft and translucent, 5 to 8 minutes. Stir curry powder, cumin, turmeric, coriander, cayenne, and 1 tablespoon of water into the onion mixture; allow to heat together for about 1 minute while stirring. Add tomatoes, yogurt, 1 tablespoon chopped cilantro, and 1 teaspoon salt to the mixture; stir to combine.', 'Return chicken breast to the skillet along with any juices on the plate. Pour in 1/2 cup water and bring to a boil, turning the chicken to coat with the sauce. Sprinkle garam masala and 1 tablespoon cilantro over the chicken.', 'Cover the skillet and simmer until chicken breasts are no longer pink in the center and the juices run clear, about 20 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Drizzle with lemon juice to serve.', 'Dotdash Meredith Food Studio']",https://www.allrecipes.com/recipe/212721/indian-chicken-curry-murgh-kari/,
Jambalaya,20,45,65,6,6 servings,"[{'quantity': '2', 'unit': 'tablespoons', 'name': 'peanut oil, divided'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Cajun seasoning'}, {'quantity': '10', 'unit': 'ounces', 'name': 'andouille sausage, sliced into rounds'}, {'quantity': '1', 'unit': 'pound', 'name': 'boneless skinless chicken breasts, cut into 1 inch pieces'}, {'quantity': '1', 'unit': '', 'name': 'onion, diced'}, {'quantity': '1', 'unit': 'small', 'name': 'green bell pepper, diced'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery, diced'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': '(16 ounce) can', 'name': 'crushed Italian tomatoes'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'hot pepper sauce'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'file powder'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'uncooked white rice'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'chicken broth'}]","['Heat 1 tablespoon of peanut oil in a large heavy Dutch oven over medium heat. Season the sausage and chicken pieces with Cajun seasoning. Saute sausage until browned. Remove with slotted spoon, and set aside. Add 1 tablespoon peanut oil, and saute chicken pieces until lightly browned on all sides. Remove with a slotted spoon, and set aside.', 'In the same pot, saute onion, bell pepper, celery and garlic until tender. Stir in crushed tomatoes, and season with red pepper, black pepper, salt, hot pepper sauce, Worcestershire sauce and file powder. Stir in chicken and sausage. Cook for 10 minutes, stirring occasionally.', 'Stir in the rice and chicken broth. Bring to a boil, reduce heat, and simmer for 20 to 25 minutes, or until liquid is absorbed.', 'Meredith']",https://www.allrecipes.com/recipe/31848/jambalaya/,
Chicken Katsu,10,10,20,4,4 servings,"[{'quantity': '4', 'unit': '', 'name': 'skinless, boneless chicken breast halves - pounded to 1/2 inch thickness'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': '', 'name': 'egg, beaten'}, {'quantity': '1', 'unit': 'cup', 'name': 'panko bread crumbs'}, {'quantity': '1', 'unit': 'cup', 'name': 'oil for frying, or as needed'}]","['Season the chicken breasts on both sides with salt and pepper. Place the flour, egg and panko crumbs into separate shallow dishes. Coat the chicken breasts in flour, shaking off any excess. Dip them into the egg, and then press into the panko crumbs until well coated on both sides.', 'Heat 1/4 inch of oil in a large skillet over medium-high heat. Place chicken in the hot oil, and cook 3 or 4 minutes per side, or until golden brown.', 'Mitsuha Kirigaija', ""   Editor's Note:  "", 'Try serving this with Japanese salad dressing for dipping.']",https://www.allrecipes.com/recipe/72068/chicken-katsu/,
Chicken Marsala,10,20,30,4,4 servings,"[{'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour for coating'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '4', 'unit': 'medium', 'name': 'skinless, boneless chicken breast halves - pounded 1/4 inch thick'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'sliced mushrooms'}, {'quantity': '½', 'unit': 'cup', 'name': 'Marsala wine'}, {'quantity': '¼', 'unit': 'cup', 'name': 'cooking sherry'}]","['In a shallow dish or bowl, mix together the flour, salt, pepper and oregano. Coat chicken pieces in flour mixture.', 'In a large skillet, melt butter in oil over medium heat. Place chicken in the pan, and lightly brown. Turn over chicken pieces, and add mushrooms. Pour in wine and sherry. Cover skillet; simmer chicken 10 minutes, turning once, until no longer pink and juices run clear.', 'DOTDASH MEREDITH FOOD STUDIOS ']",https://www.allrecipes.com/recipe/8887/chicken-marsala/,
Baked Garlic Parmesan Chicken,15,30,45,6,6 servings,"[{'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'cup', 'name': 'dry bread crumbs'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried basil leaves'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '6', 'unit': '', 'name': 'skinless, boneless chicken breast halves'}]","['Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x13 inch baking dish.', 'In a bowl, blend the olive oil and garlic. In a separate bowl, mix the bread crumbs, Parmesan cheese, basil, and pepper. Dip each chicken breast in the oil mixture, then in the bread crumb mixture. Arrange the coated chicken breasts in the prepared baking dish, and top with any remaining bread crumb mixture.', 'Bake 30 minutes in the preheated oven, or until chicken is no longer pink and juices run clear.', 'Alberta Rose']",https://www.allrecipes.com/recipe/55860/baked-garlic-parmesan-chicken/,
Chicken Cordon Bleu,10,35,45,4,4 servings,"[{'quantity': '', 'unit': '', 'name': 'nonstick cooking spray'}, {'quantity': '4', 'unit': '', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '6', 'unit': 'slices', 'name': 'Swiss cheese'}, {'quantity': '4', 'unit': 'slices', 'name': 'cooked ham'}, {'quantity': '½', 'unit': 'cup', 'name': 'seasoned bread crumbs'}]","['Preheat oven to 350 degrees F (175 degrees C). Coat a 7x11-inch baking dish with nonstick cooking spray.', 'Pound chicken breasts to 1/4 inch thickness.', 'Sprinkle each piece of chicken on both sides with salt and pepper. Place 1 Swiss cheese slice and 1 ham slice on top of each breast. Roll up each breast, and secure with a toothpick. Place in the prepared baking dish, and sprinkle chicken evenly with bread crumbs.', 'Bake in the preheated oven until chicken is no longer pink, 30 to 35 minutes.', 'Remove from the oven, and place 1/2 Swiss cheese slice on top of each breast. Return to the oven until cheese has melted, 3 to 5 minutes. Remove toothpicks and serve immediately.', 'Allrecipes Magazine']",https://www.allrecipes.com/recipe/8495/chicken-cordon-bleu-i/,
Banh Mi,30,20,50,2,1 12-inch sandwich,"[{'quantity': '½', 'unit': 'cup', 'name': 'rice vinegar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'matchstick-cut carrots'}, {'quantity': '¼', 'unit': 'cup', 'name': 'peeled and matchstick-cut daikon radish'}, {'quantity': '¼', 'unit': 'cup', 'name': 'thinly sliced white onion'}, {'quantity': '1', 'unit': '', 'name': 'skinless, boneless chicken breast half'}, {'quantity': '1', 'unit': 'pinch', 'name': 'garlic salt, or to taste'}, {'quantity': '', 'unit': '', 'name': 'ground black pepper to taste'}, {'quantity': '1', 'unit': '(12 inch)', 'name': 'French baguette'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'mayonnaise'}, {'quantity': '¼', 'unit': 'cup', 'name': 'thinly sliced cucumber '}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh cilantro leaves'}, {'quantity': '1', 'unit': 'small', 'name': 'jalapeno pepper, cut into 1/16-inch-thick matchsticks'}, {'quantity': '1', 'unit': 'wedge', 'name': 'lime'}]","['Combine rice vinegar, sugar, and water in a saucepan. Bring to a boil over medium heat, stirring until sugar has dissolved, about 1 minute. Allow the mixture to cool.', 'Place carrot, radish, and onion in a bowl. Pour in cooled vinegar mixture and let marinate at least 30 minutes.', 'While vegetables marinate, set an oven rack about 6 inches from the heat source and preheat the broiler. Lightly oil a slotted broiler pan.', 'Sprinkle chicken breast with garlic salt and pepper.', 'Place chicken on the prepared pan and broil, turning once, until browned and no longer pink in the center, about 6 minutes per side.', 'Place chicken on a cutting board. Cut into bite-sized pieces.', 'Slice baguette in half lengthwise. Pull out the soft center of the bread, leaving a cavity for the fillings.', 'Lightly toast baguette under the broiler, 2 to 3 minutes.', 'Drain off excess vinegar mixture after vegetables have marinated.', 'To assemble the sandwich, spread each half of toasted baguette with mayonnaise. Layer chicken on the bottom half of the bread. Top with cucumber, drained pickled vegetables, cilantro, and jalapeno. Squeeze lime wedge over fillings and cover with top half of baguette.', 'Cut into two 6-inch sandwiches to serve.']",https://www.allrecipes.com/recipe/187342/banh-mi/,
Chicken Noodle Casserole,30,55,85,6,1 2-quart casserole,"[{'quantity': '4', 'unit': '', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '6', 'unit': 'ounces', 'name': 'egg noodles'}, {'quantity': '1', 'unit': '(10.5 ounce) can', 'name': 'condensed cream of mushroom soup'}, {'quantity': '1', 'unit': '(10.5 ounce) can', 'name': 'condensed cream of chicken soup'}, {'quantity': '1', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '', 'unit': '', 'name': 'ground black pepper to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'crumbled buttery round crackers'}]","['Preheat the oven to 350 degrees F (175 degrees C).', 'Fill a large pot with water and bring to a simmer over medium heat. Add chicken; poach in simmering water until no longer pink in center, about 12 minutes. Use a slotted spoon to remove chicken from pot and set aside. Leave water in the pot.', 'Bring chicken cooking water to a boil. Stir in egg noodles and cook until tender with a slight bite, about 10 minutes. Drain.', 'Transfer noodles to a large bowl. Cut chicken into bite-size pieces and mix with noodles.', 'Mix together both condensed soups and sour cream in a separate bowl. Season with salt and pepper. Add soup mixture to chicken mixture and gently stir until combined. Transfer to a 2-quart baking dish.', 'Melt butter in a small saucepan over low heat and remove from heat. Stir in crumbled crackers. Sprinkle mixture over top of casserole.', 'Bake in the preheated oven until heated through and browned on top, about 30 minutes.', 'Cooking Monster Bryan']",https://www.allrecipes.com/recipe/11864/chicken-noodle-casserole-i/,
Blackened Chicken,10,10,20,2,2 chicken breast halves,"[{'quantity': '½', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground white pepper'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': '', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '', 'unit': '', 'name': 'cooking spray'}]","['Preheat the oven to 350 degrees F (175 degrees C). Spray a baking sheet with cooking spray.', 'Heat a cast-iron skillet over high heat until it is smoking hot, about 5 minutes.', 'While the skillet is heating, mix together paprika, cayenne, cumin, thyme, onion powder, white pepper, and salt in a small bowl. Spray chicken breasts on both sides with cooking spray, then coat evenly with spice mixture.', 'Place chicken in the hot pan and cook for 1 minute. Turn, and cook 1 minute on other side. Transfer chicken to the prepared baking sheet.', 'Bake in the preheated oven until chicken is no longer pink in the center and the juices run clear, about 5 minutes.', 'Carrie C.']",https://www.allrecipes.com/recipe/8571/blackened-chicken/,
Tender Pan-Fried Chicken Breasts,20,25,55,8,8 chicken breasts,"[{'quantity': '2', 'unit': 'cups', 'name': 'flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dried tarragon'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground ginger'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dry mustard powder'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dried thyme leaves'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '¼', 'unit': 'cup', 'name': 'milk'}, {'quantity': '8', 'unit': '(6 ounce)', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '½', 'unit': 'cup', 'name': 'vegetable oil'}]","['Stir together flour, salt, pepper, tarragon, ginger, mustard powder, thyme, garlic powder, and oregano in a shallow bowl until well-blended. Beat together egg and milk in a separate bowl until smooth.', 'Dredge chicken breasts in flour mixture, shake off excess, then dip in egg, and again in flour. Set aside to rest for 10 minutes.', 'Preheat the oven to 350 degrees F (175 degrees C).', 'Heat vegetable oil in a skillet over medium-high heat. Dredge chicken breasts in flour once more; shake off excess.', 'Cook chicken breasts in hot oil until golden brown, 2 to 3 minutes per side. Place onto a baking sheet.', 'Bake in the preheated oven until no longer pink in the center and the juices run clear, about 20 to 30 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).', 'dotdash meredith food studios', ""   Editor's Note  "", 'The nutrition data for this recipe includes information for the full amount of the breading ingredients. The actual amount consumed will vary.']",https://www.allrecipes.com/recipe/159972/tender-pan-fried-chicken-breasts/,10 mins
Poppy Seed Chicken Casserole,20,50,70,6,1 9-inch casserole,"[{'quantity': '4', 'unit': '', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '1', 'unit': 'sleeve', 'name': 'buttery round crackers (such as Ritz®), crushed'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, melted'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'poppy seeds, or more if desired'}, {'quantity': '1', 'unit': '(10.75 ounce) can ', 'name': 'condensed cream of chicken soup'}, {'quantity': '1', 'unit': '(8 ounce) container', 'name': 'sour cream'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded Cheddar cheese'}]","['Place chicken breasts into a large pot; cover with water and bring to a boil over high heat. Reduce heat to medium, cover, and simmer until chicken is no longer pink in the center, about 20 minutes. Drain; shred chicken with two forks.', 'Preheat the oven to 350 degrees F (175 degrees C). Mix crackers, melted butter, and poppy seeds together in a large bowl until combined; set aside.', 'Stir condensed soup and sour cream together in a medium bowl; pour 1/2 of the mixture into a 9-nch square baking dish. Add shredded chicken in an even layer; top with remaining soup mixture. Sprinkle with Cheddar cheese, then top with cracker mixture.', 'Bake in the preheated oven until cheese has melted and the sauce is bubbly, 25 to 30 minutes.']",https://www.allrecipes.com/recipe/216902/poppy-seed-chicken-casserole/,
Cheesy Chicken and Broccoli Casserole,15,35,50,8,1 9x13-inch casserole,"[{'quantity': '1', 'unit': 'teaspoon', 'name': 'unsalted butter, or as needed'}, {'quantity': '2', 'unit': '', 'name': 'skinless, boneless chicken breasts, cubed'}, {'quantity': '3', 'unit': 'cups', 'name': 'finely chopped broccoli'}, {'quantity': '2', 'unit': '(10.5 ounce) cans', 'name': 'condensed cream of chicken soup'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Parmesan cheese, divided'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded mozzarella cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground black pepper to taste'}]","['Preheat the oven to 350 degrees F (175 degrees C). Butter the bottom and sides of a 9x13-inch dish.', 'Bring a pot of water to a boil. Add chicken and continue to boil until no longer pink, 5 to 10 minutes.', 'Meanwhile, combine broccoli, cream of chicken soup, Cheddar cheese, 1/2 cup Parmesan cheese, mozzarella cheese, sour cream, and pepper in a large bowl. Mix well.', 'Drain chicken and add to broccoli mixture. Mix well. Pour into the prepared baking dish and spread evenly.', 'Bake in the preheated oven for 20 minutes. Add remaining Parmesan cheese on top and continue to bake until cheese is melted, 3 to 5 minutes.', ""   Cook's Notes:  "", 'You can use thawed, frozen broccoli instead of fresh, if preferred.', 'You can sprinkle whatever cheese you want on top after baking for 20 minutes.']",https://www.allrecipes.com/recipe/279837/cheesy-chicken-and-broccoli-casserole/,
Chicken Enchiladas,25,35,70,8,8 enchiladas,"[{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil, or as needed'}, {'quantity': '4', 'unit': '', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '1 ¾', 'unit': 'cups', 'name': 'shredded Cheddar cheese, divided'}, {'quantity': '½', 'unit': 'pint', 'name': 'sour cream'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dried parsley'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'tomato sauce'}, {'quantity': '½', 'unit': 'cup', 'name': 'water'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'chopped green bell pepper'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chili powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt (Optional)'}, {'quantity': '8', 'unit': '(10 inch)', 'name': 'flour tortillas'}, {'quantity': '1', 'unit': '(12 ounce) jar', 'name': 'taco sauce'}]","['Preheat the oven to 350 degrees F (175 degrees C).', 'Heat oil in a nonstick skillet over medium heat. Add chicken and cook until no longer pink and juices run clear, 5 to 7 minutes per side.', 'Transfer chicken to a cutting board and slice into cubes. Return chicken to the skillet.', 'Add onion, 1 cup Cheddar cheese, sour cream, parsley, oregano, and black pepper. Cook and stir over low heat until cheese melts. Stir in tomato sauce, water, green pepper, garlic, chili powder, and salt.', 'Spoon chicken mixture into tortillas and roll into enchiladas. Arrange enchiladas, seam-side down, in a 9x13-inch baking dish. Top with taco sauce and remaining 3/4 cup Cheddar cheese.', 'Bake in the preheated oven, uncovered, until cheese has melted, about 20 minutes. Cool 10 minutes before serving.', 'My Hot Southern Mess']",https://www.allrecipes.com/recipe/8691/chicken-enchiladas-i/,10 mins
Slow Cooker Buffalo Chicken Sandwiches,10,360,370,6,6 sandwiches,"[{'quantity': '4', 'unit': '', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '1', 'unit': '(17.5 fluid ounce) bottle', 'name': 'Buffalo wing sauce, divided'}, {'quantity': '½', 'unit': '(1 ounce) package', 'name': 'dry ranch salad dressing mix'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '6', 'unit': '', 'name': 'hoagie rolls, split lengthwise'}]","['Place chicken breasts into the slow cooker; pour in 3/4 of the wing sauce and ranch dressing mix.', 'Cover and cook on Low for 6 to 7 hours.', 'Shred chicken in the cooker with two forks. Stir in butter.', 'Pile shredded chicken and sauce onto hoagie rolls. Serve with remaining Buffalo sauce.', 'ReneePaj']",https://www.allrecipes.com/recipe/176132/slow-cooker-buffalo-chicken-sandwiches/,
Lemon Chicken Piccata,20,30,50,4,4 servings,"[{'quantity': '3', 'unit': 'large', 'name': 'skinless, boneless chicken breast halves - cut into 1/2-inch medallions'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil, or as needed'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'cup', 'name': 'low sodium chicken broth'}, {'quantity': '½', 'unit': '', 'name': 'lemon, thinly sliced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'fresh lemon juice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'capers, drained and rinsed'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'minced Italian (flat-leaf) parsley'}]","['Preheat oven to 200 degrees F (95 degrees C). Place a serving platter into the oven to warm.', 'Season the chicken breast pieces with salt and pepper and dredge them in flour. Shake off excess flour. Heat the vegetable oil in a skillet; pan-fry the chicken pieces until golden brown on both sides, about 3 minutes per side. Work in batches and do not crowd skillet, adding oil as needed . Place the chicken pieces onto the warmed platter in the oven. When finished with all the chicken, drain most of the oil from the skillet, leaving a thin coating on the surface of the pan.', 'Cook and stir the minced garlic in the skillet until fragrant, about 20 seconds. Pour in the chicken broth. Scrape and dissolve any brown bits from the bottom of the skillet. Stir in the lemon slices and bring the mixture to a boil. Let cook, stirring occasionally, until the sauce reduces to about 2/3 cup, 5 to 8 minutes. Add the lemon juice and capers; simmer until the sauce is reduced and slightly thickened, about 5 minutes more. Drop the butter into the skillet and swirl it into the sauce by tilting the skillet until the butter is melted and incorporated. Add the parsley; remove from heat and set aside.', 'Arrange the chicken medallions on serving plates and spoon sauce over each portion to serve.', 'MamaLeah']",https://www.allrecipes.com/recipe/214488/lemon-chicken-piccata/,
